x y z s_gradient
-0.29645254 -0.66820861 0.09898347 -0.43899007
-0.20964045 -0.28194519 -0.09495163 0.22324214
-0.78822298 -0.22358651 -0.08156550 -0.01611399
-0.24312868 0.45934667 -0.08398481 -0.22886331
-0.12373495 0.00889412 0.43842276 0.40941340
-0.62332466 0.03276446 0.09136862 0.05403967
0.19471342 0.21282139 -0.17681613 -0.19793685
-0.35775053 -0.09045813 -0.12243755 0.25683495
-0.37284966 0.00777140 0.06964398 0.18554112
-0.59650369 0.08414578 0.10624147 -0.28778238
-1.08424173 0.16664317 -0.24550485 -0.27611879
-0.96057478 -0.01460281 0.02099525 0.07378810
-0.77337654 0.20775796 -0.33554379 0.21681156
-0.70173594 -0.14621853 -0.01164682 0.12878451
-0.53028393 -0.25197324 0.18107067 -0.38643340
-0.58424941 -0.47298656 -0.48964786 0.24411057
-0.60307982 -0.05524183 -0.02585503 0.29776313
-0.60699561 0.05638996 0.23691240 -0.38977283
-0.87777623 -0.29299290 -0.27333096 -0.10354908
-0.52777083 0.31123684 -0.10783486 -0.08330421
-1.22542496 -0.42599822 -0.20825918 0.18569799
-0.73943222 -0.10209716 0.00964528 0.20882454
-0.67793658 0.26233490 -0.16900433 -0.27652037
-0.81557949 0.11971888 -0.38391052 0.24831737
-0.50257707 0.02563830 -0.03686062 -0.08576220
-0.20293097 -0.15555186 0.51507454 -0.26474326
-0.65635786 -0.31925411 0.01747990 0.17332003
-0.86906130 -0.18793896 0.09925833 0.01884281
-0.46110448 -0.15554193 0.24685129 -0.12081158
-0.31062306 0.35907544 0.13235335 -0.17572006
-0.25914282 -0.47019961 -0.07947664 0.22828255
-0.81675131 0.02980647 -0.14286230 0.03622824
-0.64153946 0.47054372 -0.04242995 0.15871865
-0.49655192 -0.05806733 0.01892832 0.14946477
-0.59849583 0.11208102 0.29132688 -0.34101674
-0.18815150 0.07740502 0.14738672 -0.04292363
-0.88771613 -0.02196919 0.23507237 0.09906654
-0.38350784 0.05290243 0.22159849 0.02910449
-0.47730832 0.30007656 0.07233979 -0.19057982
-0.68892458 0.08396031 -0.73264859 -0.21668751
-0.50427857 -0.91210321 -0.43086585 0.17367621
-0.48705785 0.11938233 -0.29060720 0.13150658
-0.77802551 0.34263525 -0.12100753 -0.14906702
-0.03926992 -0.00047996 0.10200904 -0.04916242
-0.19578140 0.03275678 -0.25058600 0.14354212
-0.62743186 -0.00890268 -0.34118541 0.16807905
-0.66395802 -0.18554802 0.23108944 0.27130207
-0.59134703 -0.07069894 -0.02654548 -0.01309071
-0.54421950 0.15420355 -0.24992806 -0.31309387
-0.86039691 0.27616980 -0.10308422 -0.08036140
-0.95421052 0.11095318 0.11584245 -0.04672072
-0.98267881 0.05737043 0.18389577 -0.00659206
-0.50640339 0.15799537 -0.35106727 0.31434196
-0.51723996 -0.07565494 -0.12069754 -0.12110183
-0.38236110 0.36981863 0.44859251 -0.23229617
-0.27129803 -0.02743355 0.08818004 0.35120966
-0.40829428 0.03029449 0.03269105 0.10322350
-0.39406172 -0.01482066 -0.18232173 -0.00887262
-0.70361827 0.15847759 0.00074832 0.06369961
-0.51494751 0.16751981 -0.09371037 -0.19538701
-0.41093796 0.09471065 -0.30870327 -0.30968095
-0.23942380 -0.12518619 -0.41377384 -0.01983891
-0.86126093 -0.25526129 0.01304333 0.33850974
-0.66846263 -0.08420799 0.15492549 0.25294551
-0.51503116 0.07901197 0.10245711 -0.35038545
-0.44596633 -0.52698834 -0.09110956 -0.37497697
-1.14505252 0.00901498 -0.00115824 0.11972358
-0.33861693 0.29690860 0.05069376 0.30268888
-0.72509027 0.12129028 -0.13197941 0.11470394
-0.60034816 0.24653408 -0.13944284 -0.14696392
-0.39858034 0.16935034 -0.23869795 -0.02247365
-0.35652647 0.17464159 0.02548147 0.03883904
-0.79058086 -0.21480150 -0.13441564 0.00800972
-0.46435138 -0.23890629 0.10937806 -0.00013427
-0.91043888 -0.05101715 0.02741194 -0.24768056
0.01128254 -0.34432891 0.36800364 0.22157855
-0.56253940 0.10279298 0.02958698 0.14966913
-0.48881830 -0.03842128 0.36351255 -0.25668487
-0.71411779 0.28305864 -0.16109178 0.10346424
-0.61506296 -0.26799064 0.11375593 -0.00746690
-0.23871851 -0.01933904 -0.04922142 -0.17916290
-0.87865424 -0.05732316 -0.39819856 -0.05727199
-0.82821950 0.05669651 0.32975330 -0.07815850
0.10230272 -0.14664627 0.35882504 0.30752290
-0.53906188 -0.03781191 0.10814861 0.44792686
-0.58452088 0.02759893 -0.10208329 -0.39234284
-0.94952741 -0.38590630 0.16331122 -0.03946953
-0.66917502 -0.14902222 0.00212641 0.24909329
-0.40126694 0.04509099 -0.16401373 -0.32812114
-0.29342676 0.39479638 0.12363916 -0.20846635
-0.35658412 0.31049000 0.28252483 0.24176186
-0.44647521 0.14958676 0.12991514 0.01139775
-0.87433442 0.17518079 -0.33895349 -0.20164924
-0.79864986 0.32589127 0.21005504 -0.01344188
-0.22815043 -0.06791860 -0.28806221 0.35655449
-0.66010930 0.02550782 0.01974718 0.14693078
-0.31657988 -0.09031761 0.08800862 -0.19994696
-0.84715679 0.11257932 0.00077714 0.12977271
-0.78745333 -0.05895734 -0.04604394 -0.18685718
-0.66753878 0.44283531 -0.02461150 -0.31330303
-0.66097403 -0.52436274 -0.22355184 0.04617745
-0.66576836 -0.17146317 0.34542690 0.15540081
-0.64123444 0.32211106 0.01542616 0.35676007
-0.59069304 -0.02219911 0.00094906 -0.19341155
-0.17030125 -0.57990268 -0.50038644 -0.16172725
-0.73579271 0.00363197 0.17252611 0.23916104
-0.48172820 -0.09606148 0.25476092 -0.14407538
-0.34245115 0.04601446 0.24066439 0.08484281
-0.53183868 -0.14037076 0.17445421 -0.02668285
-0.57234672 0.00033496 0.36823839 -0.33183758
-1.21271803 -0.35442104 -0.29676761 -0.02143116
-0.69081516 -0.06365204 -0.37683141 0.02473439
-0.84628951 -0.21521042 0.61435602 -0.04200893
-0.14956451 -0.10293735 -0.09089582 0.02560624
-0.88730100 -0.47703260 -0.02922005 -0.00028325
-0.84946300 -0.02121263 -0.40005146 0.31695185
-0.79049361 0.03715677 0.09155240 0.03087523
-0.49563201 -0.33012225 0.21367143 -0.05233312
-0.80005292 0.15821448 -0.00265967 0.04142026
-0.94409687 -0.07904943 0.09134094 -0.17551735
-0.44675865 -0.03524697 0.38294472 0.05718695
-0.34812231 -0.06416353 0.18753045 -0.14517184
-0.11655163 0.49012115 -0.30699997 -0.17272005
-0.83163328 0.37122970 -0.26457026 0.16501694
-0.93063528 -0.12154853 0.10505668 0.25006493
-0.62559918 -0.16264091 -0.16855312 -0.12409509
-0.77808427 -0.21987741 0.57040822 0.00358840
-0.52562223 0.22168976 -0.12226937 -0.01874725
-0.64648917 -0.17838850 -0.66292708 -0.28961937
-0.94450232 -0.45265467 -0.56244594 0.10286270
-0.89883974 0.33123892 -0.01110904 0.13130621
-0.27735906 0.10274564 0.19563971 0.10515494
-0.82522425 0.13098774 0.18217856 0.15757128
-0.74416182 0.13988509 0.14154694 -0.10299028
-0.73738816 -0.28069211 -0.29603208 0.04855287
-0.57837361 0.08175247 -0.19813146 0.23822888
-0.59335366 0.14263426 0.15454768 -0.30755827
-0.21202997 0.31924521 -0.25032286 -0.29391431
-0.17910345 -0.13274413 0.26121820 0.02648493
-0.58300334 -0.10303734 -0.45192421 0.03777946
-0.64289113 -0.38984581 0.24182481 0.02406053
-0.22080184 -0.19922775 0.07549269 0.13840135
-0.78134788 -0.15712118 0.19362368 0.00769583
-0.60963457 0.43491201 -0.12055812 -0.03122519
-0.35016592 0.02435335 0.19894450 0.34170951
-0.71178941 -0.01238971 -0.02887472 0.04167715
-0.80901428 0.16552038 0.16256225 -0.40085191
-0.45161133 0.38424141 0.36233620 0.09769215
-0.69373617 0.09326308 -0.15590017 0.07371594
-0.59416117 -0.14993736 0.40501758 -0.13169617
-0.50907546 -0.05450728 0.29840464 -0.12911340
-1.14265385 -0.50352565 0.19895966 -0.01066752
-0.58488289 0.06261158 -0.33159903 0.04967787
-0.60580843 0.50087735 0.20604990 0.21562418
-0.55757336 -0.10976348 -0.09864321 -0.01094399
-1.13229947 0.06441011 0.21137078 -0.35257078
-0.99390483 -0.16535422 -0.28936616 0.01054284
-0.84133780 0.01337041 -0.52110054 0.20835763
-0.44643239 0.18846377 -0.06277565 -0.02450972
-1.22017713 -0.24910466 0.30822548 -0.26862182
-1.29449857 -0.08688085 -0.29500019 0.26347973
-0.39885742 -0.16877849 0.10098851 0.07432909
-0.45863490 0.45905646 -0.05073549 -0.19480963
-0.50598891 -0.37126387 0.29760339 0.23136227
-0.79012721 -0.14018854 -0.00556195 -0.00213286
-0.99072109 0.05719251 0.24186657 -0.17976965
-0.52676654 -0.39722439 -0.03095232 -0.04667188
-0.41449277 -0.46949719 -0.26869150 0.18168907
-0.38086410 0.06752386 0.10299290 0.03085074
-0.13512630 0.11713819 0.16447200 -0.28815836
0.07768638 -0.05345114 -0.19947069 0.28754341
-0.49305090 0.10974776 -0.13167885 0.00587224
-0.85809925 0.57746111 0.08171087 -0.10644640
-0.78307135 0.22898258 -0.02728629 0.14326362
-0.66322036 0.14056822 -0.32297057 -0.16828452
-0.51184320 0.47823870 0.11654442 0.19321344
-0.69405303 -0.12677632 -0.10258499 0.19467361
-0.66349067 -0.09445163 0.22907786 -0.30563081
-1.03330228 0.21550001 -0.09492163 -0.16952281
-0.50576305 -0.28174698 0.33215777 -0.01800563
-0.28859126 0.23989763 -0.37868869 -0.02970564
-0.39271973 0.10121377 -0.40131781 0.36785027
-0.60607435 0.09113362 0.13901882 0.08524089
-0.55568466 0.07280785 0.36840285 -0.40030814
-0.29349152 -0.71676374 -0.07935964 -0.05013079
-0.64116276 -0.43802464 0.02354576 0.09350486
-0.28781056 -0.27164196 0.08410023 -0.01842710
-0.82895587 -0.16797801 0.36934841 -0.02937344
-0.73563946 0.11555312 -0.46780453 -0.00357010
-0.13442061 0.15066311 -0.04562496 0.00832863
-0.45611337 -0.35245486 0.29563269 0.33218938
-0.68099619 -0.05101738 -0.12291390 0.21858294
-0.74516285 0.17366765 0.06397671 -0.06430516
-0.43706296 -0.00219867 0.12829995 -0.29798296
-0.70471219 0.55743296 -0.39198260 -0.27984342
-0.28476567 0.34197686 -0.21303970 0.02916030
-0.04268160 0.24887257 0.24278475 0.39772218
-0.59299445 -0.05430654 -0.05235221 0.13371407
-0.50236735 0.35029657 0.04532855 -0.31831234
-0.82786091 0.20610677 0.23028769 0.13442420
-0.43633512 0.18637473 -0.06773203 -0.11210396
-0.83224729 -0.21704836 -0.40886581 0.11808488
-0.54076285 -0.02086220 -0.10999693 -0.03512788
-1.33890471 -0.31182937 0.28021016 -0.30507683
-0.76615650 0.09014792 -0.34767136 0.16198939
-0.24032363 -0.03600692 0.07251010 -0.09159944
-0.01855505 0.37911003 -0.07664141 0.19279164
-0.74830505 -0.08138625 0.12747456 0.12446760
-0.62630603 -0.09881104 0.36679531 -0.32329380
-0.62855247 0.57489727 0.02268564 -0.07996166
-0.15367040 0.08932986 0.24074014 0.18824455
-0.78115276 -0.21343981 0.11492649 0.07290017
-0.35286169 0.01006413 -0.32159833 -0.20561959
-0.94006459 -0.35678410 -0.44190553 0.11487068
-0.57262866 0.28126098 -0.00335395 0.01950550
-1.16510369 -0.04769012 -0.04069975 -0.23445343
-0.07600031 -0.36428448 -0.09766940 0.05819151
-0.17353683 0.11249459 0.14082827 0.32236638
-0.57135389 0.08248588 0.19440238 -0.00202662
-0.80237158 0.21951464 -0.34325075 0.03640110
-0.51790801 0.04468524 -0.15407327 0.12382937
-0.60567132 -0.15563504 -0.26792533 -0.13833946
-0.68840369 -0.27599716 0.08069937 -0.13099088
-0.88752137 0.17799426 -0.29536977 -0.09055519
-0.74157373 -0.15615085 0.33128668 0.32711685
-0.51742751 -0.05293345 0.12467986 -0.14781925
-1.12679809 -0.01078340 0.49937854 0.01347451
-0.56691337 0.01697829 0.13703209 0.00320595
-0.37609869 -0.49936667 -0.42058162 -0.28810154
-0.54742718 -0.17871914 0.32800632 0.02154503
-0.67879360 -0.48363268 -0.31700348 -0.12792003
-1.28741900 -0.05853138 -0.04709603 0.09941798
-0.70611568 0.26971976 0.29962996 0.03032473
-0.64259711 -0.53367342 0.15432040 0.13166491
-0.46115994 0.07734789 0.24536994 -0.03026089
-0.89120702 0.50218885 -0.23985694 -0.20414821
-0.41269427 -0.42183692 -0.23256617 0.10933774
-0.22090784 -0.06522496 0.20998065 0.11371410
-0.54076115 -0.02623954 0.34096258 -0.05617375
-0.65916471 -0.44518453 -0.20081002 -0.06514782
-0.46220207 0.09887728 -0.39176456 0.23355720
-0.78108563 -0.14543034 -0.09136740 0.01204007
-0.94397840 -0.15709278 -0.18215262 -0.03161725
-0.40711669 0.20228033 -0.03645261 0.21453775
-0.69800995 0.03498108 -0.20414378 -0.14808638
-0.88670802 -0.23505530 -0.15870329 -0.14658232
-0.89086845 0.04051489 0.18242892 0.01538197
-0.99677458 0.00628218 -0.05498395 -0.01485289
-0.51462283 -0.00323469 -0.36339982 0.01864666
-0.91559732 0.00735589 0.25719523 -0.13941157
-1.15354684 0.08643164 0.29740550 0.16610055
-0.63825647 0.13755062 -0.17576727 -0.01824375
