x y z s_moving_average
-0.82368175 0.16083170 -0.09865128 0.39403011
-0.60128047 -0.04086072 0.08439364 0.39999004
-0.24812953 0.02264623 0.16098470 0.42717005
-1.11254303 -0.01217960 -0.21080757 0.37815824
-0.90470327 -0.21953809 -0.08353086 0.28727768
-0.37102436 -0.33159818 0.00765787 0.29686876
-0.72104236 -0.08191827 0.25068946 0.42831959
-0.46547114 0.33434953 -0.03862642 0.47501833
-0.77398565 -0.05596470 0.06062420 0.42913689
-0.55585666 -0.27109702 0.02262245 0.37522995
-0.54294292 0.62936851 0.46921115 0.38430588
-0.81331084 -0.07184584 -0.36586050 0.25795403
-0.74767675 0.07890125 0.30146341 0.24780772
-0.78227096 -0.16353661 -0.53682226 0.26765583
-0.64066648 -0.26560360 -0.13235986 0.22647008
-0.81921519 -0.02356564 -0.43943210 0.14939406
-0.96676131 0.53231178 -0.32185565 0.21734551
-0.87419639 0.45922838 0.72626679 0.15103228
-0.89289166 -0.09206224 0.08538889 0.24239373
-0.16782559 -0.24671427 -0.06131946 0.31568145
-0.40566561 0.10869152 -0.09403902 0.48057967
-0.63345574 -0.34372395 -0.05954344 0.49770683
-0.66659687 0.05804247 -0.13883180 0.65612789
-0.48211537 0.25317895 0.03885733 0.68299487
-0.51206090 0.01328884 0.00002110 0.61108229
-0.78038951 0.07912357 -0.02432165 0.48389772
-0.07670792 0.39333873 0.09646164 0.41610978
-0.79076430 -0.27810287 0.29778574 0.28977828
-0.53431269 0.12003585 -0.43614650 0.32076567
-0.36814038 0.11360508 -0.27760767 0.50239444
-0.71788120 0.06592930 0.01311670 0.46779431
-0.67304280 -0.02587207 -0.06299434 0.60869088
-0.56185937 0.36787299 -0.64166461 0.58400215
-0.65921257 0.04412811 0.07399850 0.42600308
-0.69297865 -0.43918045 0.08199887 0.34417971
-0.16816245 -0.38346535 0.21595700 0.41052190
-0.68213131 -0.01533109 -0.26322463 0.24722785
-0.68361404 0.32501115 0.14566381 0.23516565
-0.16692210 0.29435297 0.10977167 0.36449482
-0.16401637 0.10974829 0.20699704 0.30658338
-0.67414274 0.01663645 -0.17435596 0.31319805
-0.35260402 -0.29457591 0.19558759 0.30532833
-0.64766276 0.29281177 0.18771725 0.36831122
-0.14483846 0.18269367 -0.39301006 0.26803855
-0.61673829 -0.29300180 -0.12956996 0.27414407
-0.22219289 0.15938345 -0.17473261 0.27151612
-0.85342934 0.00819552 -0.30414004 0.27732579
-0.76778507 0.07800237 0.28882801 0.23124142
-0.44780963 -0.57282238 0.07609168 0.20170951
-0.58199161 0.10347257 0.40405242 0.17255032
-1.11580957 -0.14777586 0.14772658 0.17732806
-0.99539860 0.36898726 0.09208915 0.27195539
-0.38835400 -0.14273592 0.20344092 0.35973673
-0.33288211 0.05821951 0.05860022 0.45224552
-0.53241419 -0.21583632 -0.03688217 0.46356316
-0.63813063 0.09584847 0.24995606 0.49347335
-0.86463402 -0.03125226 0.37036389 0.44292210
-0.78589706 -0.20556250 0.05057655 0.39496967
-0.38890370 0.00285651 0.33224015 0.29542469
-0.38580150 0.21045502 0.13852913 0.30535659
-0.01808672 -0.05129042 -0.50088057 0.20047193
-0.19893641 -0.11442486 0.02697011 0.18458215
-0.27261233 -0.40056489 -0.31291180 0.16077605
-1.00031948 -0.19853407 0.10990915 0.16684513
-0.46895304 0.06906854 -0.35319147 0.25494792
-1.17752586 0.01358840 -0.11794401 0.37559942
-0.48515356 0.17548841 0.03456036 0.47870462
-0.40996673 0.05730284 0.13251618 0.53231556
-0.77616832 -0.04490285 0.04919402 0.64885515
-0.39486788 -0.09843529 0.13029181 0.51448923
-0.66645970 -0.02938554 0.20737976 0.39416537
-1.09826509 -0.32411808 -0.37054635 0.34182883
-1.18340403 -0.16956611 0.18735847 0.25490037
-0.67122102 0.04944752 0.27230437 0.24184628
-0.26807847 -0.01728448 0.33839647 0.28300456
-0.57696834 -0.20934956 -0.14860009 0.28433409
-0.97013413 -0.22203346 -0.08950417 0.28781358
-0.39910375 0.43019246 -0.34554538 0.28024265
-0.50179313 -0.26013598 0.11867427 0.24353927
-0.63277166 -0.45772646 0.23207425 0.34486181
-0.75125018 -0.13347506 -0.26743810 0.40775257
-0.76357082 0.10697261 -0.04731109 0.34519416
-0.51783450 0.09048046 0.33016541 0.42847257
-0.68569654 -0.36921445 0.26680560 0.36966509
-0.68287204 0.27864811 0.09584428 0.25196046
-0.63278438 0.08719397 0.48775314 0.25640619
-0.08075487 0.01734528 0.04004765 0.35182343
-0.33093996 -0.21141526 0.08326759 0.24658818
-0.60646571 0.07847705 -0.20834220 0.24586901
-0.99739187 -0.51824586 -0.27934603 0.28567838
-0.71466882 -0.07329790 0.48430779 0.38274592
-0.32350166 -0.24052278 0.08692711 0.33895903
-0.70176956 -0.07109096 0.04633141 0.34901129
-0.44520722 -0.08481462 0.26596288 0.39048416
-0.88548456 0.00158477 0.64941843 0.49069628
-0.54423006 0.35830363 0.02288004 0.40394990
-0.45480573 -0.01419580 -0.04260190 0.40076794
-0.79487060 0.10757534 -0.21288430 0.55883078
-0.43360369 0.27132175 0.09163285 0.51952177
-0.67156218 0.11349139 -0.07716826 0.35330843
-0.36611322 -0.45785152 -0.08390184 0.29893777
-1.09770300 -0.37376521 0.34096556 0.21244456
-0.37620375 -0.17987006 -0.37562586 0.18430352
-1.34113221 -0.13587388 0.60510375 0.21961192
-0.49127893 -0.13989307 0.11627005 0.35511915
-0.99023959 -0.07433084 0.02486937 0.40074660
-0.62152516 0.19770153 0.08616131 0.42376320
-0.43291850 -0.17209307 0.22445385 0.30858889
-0.19276576 -0.24253738 -0.22192391 0.30348501
-0.26605392 -0.04783600 0.35095535 0.22264878
-0.71063393 0.36376139 0.03287145 0.24301252
-0.53544279 0.39117951 -0.09044262 0.26508294
-0.83528052 -0.11214105 0.11308349 0.24746717
-0.99143977 0.15936773 -0.13469283 0.22196488
-0.31304683 -0.59856508 -0.19664144 0.35749720
-1.02161704 -0.20655737 0.06191648 0.34629903
-0.64480666 -0.06334439 -0.03979622 0.43496603
-0.54915294 -0.25213401 0.17671241 0.45039173
-0.43433351 0.09625948 0.13913336 0.50143978
-0.52589550 0.50876833 -0.02177354 0.36979572
-0.67677080 -0.18838190 -0.25806567 0.42633859
-0.91111795 -0.22219933 -0.01767010 0.39717336
-0.51642622 0.01278551 -0.19138382 0.50192324
-0.37495386 0.18485317 -0.03991208 0.48773890
-0.76322904 0.13710698 0.04699340 0.46653509
-0.96203181 -0.01699506 0.06550895 0.35758022
-0.82492370 0.04746085 -0.36370562 0.26210809
-0.26595347 0.31198750 -0.06312933 0.21728099
-0.50913642 -0.60248049 -0.28908692 0.16292687
-0.67344473 -0.26803326 0.17859912 0.15311310
-0.10067587 -0.29415368 -0.20936585 0.12565493
-0.54113791 0.40277904 -0.30559358 0.18561516
-0.53774097 0.45532471 -0.41293979 0.13299508
-0.92026730 -0.10590165 -0.13014710 0.17840063
-0.39684968 0.06041493 -0.44374051 0.26377302
-0.47114740 -0.14438472 0.31861180 0.29424449
-0.75689688 -0.15915382 0.13528290 0.31990894
-0.40926838 0.11202484 -0.42139933 0.33672719
-0.46549139 -0.25857701 0.05881903 0.34086832
-0.95593361 0.11158054 -0.20164973 0.28715004
-0.92065866 0.17845503 0.06041113 0.40692263
-0.75349420 0.36279471 -0.11016311 0.45594419
-0.59197308 0.06722836 -0.15491648 0.41057584
-0.48221593 -0.13336309 -0.10290958 0.35145418
-0.25933934 -0.26014651 -0.60319508 0.32074467
-0.19726575 0.63733199 -0.10131732 0.24813843
-1.08420951 -0.07762099 -0.07155574 0.15534617
-0.64748096 -0.27834701 0.14489029 0.18168762
-0.46887316 -0.37360140 0.17479918 0.21757223
-0.08682875 0.04299008 -0.08433129 0.22011515
-0.63550080 0.15381419 -0.43266790 0.16274610
-0.55890232 -0.09761599 0.46195625 0.22289567
-0.64354318 0.41697190 -0.27593517 0.29104010
-0.45318521 0.07985007 -0.21726181 0.28341044
-0.55565097 0.30312971 -0.08094793 0.29519551
-1.02299066 -0.00439071 -0.22560577 0.30734340
-0.68558523 -0.02039694 -0.42641305 0.20372953
-1.00391458 0.12051671 -0.13067967 0.15542621
-1.24118609 0.19621101 0.06809244 0.13768148
-0.77846871 -0.32920755 0.20895197 0.22248002
-0.51266234 0.59565057 0.10504715 0.24798836
-0.50307421 -0.04173198 0.20419397 0.36233322
-0.44372870 0.31293125 -0.13033073 0.37067480
-0.70885187 -0.11977579 0.19770043 0.46649137
-0.22540639 -0.11471012 -0.10619343 0.34401500
-0.52148069 -0.06144038 0.23801341 0.28023852
-1.16294432 -0.20667626 -0.19560408 0.26311565
-1.18008900 -0.24090961 -0.22878903 0.27172469
-0.65027616 0.27824147 -0.06126516 0.22895850
-0.85770343 -0.01423864 0.26229341 0.37731452
-0.84398970 -0.22764372 0.13963724 0.46492144
-0.65538403 0.16187117 -0.00341170 0.38605862
-0.42458409 -0.25876953 -0.00302116 0.41319243
-0.65267250 -0.30397273 -0.39086949 0.35671107
-0.42856274 -0.08773810 -0.25557007 0.21853861
-0.62404473 0.28200471 -0.57018446 0.20209828
-0.97415967 -0.23072161 0.36529472 0.26673872
-0.52935325 0.19182931 -0.28504023 0.33791142
-0.87988397 0.11195343 0.01456858 0.42873828
-0.46281530 -0.04691775 0.06953593 0.41815952
-0.56047023 0.19444185 0.20175207 0.35932555
-1.00496800 -0.56181714 0.25043635 0.29869430
-0.30306873 -0.25515575 -0.46495885 0.25125928
-0.57524129 0.23270956 0.44939863 0.26101530
-0.47092561 -0.09292917 -0.22328266 0.25785411
-0.59713718 -0.07481618 -0.25376698 0.32131945
-0.08781109 0.44629210 0.28401217 0.36203237
-0.83021260 0.21375483 0.15990660 0.36367545
-0.48936359 0.31241632 0.15884279 0.29408136
-0.41499644 0.15922657 0.08519785 0.30050235
-1.04590278 0.02090527 -0.13904799 0.25324990
-0.91996024 0.42045415 0.43224884 0.28996117
-0.26019485 0.06380335 0.33765628 0.25763536
-0.59698670 0.05069932 -0.27336784 0.25571873
-0.50075217 0.01509648 -0.32566303 0.37711955
-0.61279928 -0.01993239 0.44939029 0.45814737
-0.37644667 0.00286136 0.06219683 0.42491532
-0.58894691 -0.05072850 -0.27060680 0.37638669
-0.63776297 -0.18652456 -0.31257888 0.40810932
-0.47219455 0.09781616 -0.44667688 0.36178353
-0.63067116 0.24892535 0.26480593 0.34968651
-0.34354079 0.00972830 -0.21126133 0.32236098
-0.87092471 0.08615123 0.09482001 0.37947262
-0.27816722 0.27499491 -0.03305716 0.46413785
-0.91105147 -0.07977665 0.05430780 0.51952118
-0.65052081 -0.14447353 0.06322120 0.58877547
-0.72598944 -0.15701652 0.07786321 0.57738960
-0.70049815 0.06102610 0.06830101 0.48680626
-0.88485725 -0.12031028 0.35944423 0.53151986
-0.89051988 -0.52916361 -0.46546129 0.39807575
-0.59272251 0.00772932 -0.02940271 0.25530719
-0.29645254 -0.66820861 0.09898347 0.31772087
-0.20964045 -0.28194519 -0.09495163 0.33530849
-0.78822298 -0.22358651 -0.08156550 0.13757986
-0.24312868 0.45934667 -0.08398481 0.31478376
-0.12373495 0.00889412 0.43842276 0.31426703
-0.62332466 0.03276446 0.09136862 0.32299933
0.19471342 0.21282139 -0.17681613 0.43166218
-0.35775053 -0.09045813 -0.12243755 0.60615624
-0.37284966 0.00777140 0.06964398 0.43594078
-0.59650369 0.08414578 0.10624147 0.47837146
-1.08424173 0.16664317 -0.24550485 0.41684598
-0.96057478 -0.01460281 0.02099525 0.44326730
-0.77337654 0.20775796 -0.33554379 0.35903918
-0.70173594 -0.14621853 -0.01164682 0.34600009
-0.53028393 -0.25197324 0.18107067 0.46986372
-0.58424941 -0.47298656 -0.48964786 0.54641464
-0.60307982 -0.05524183 -0.02585503 0.42764451
-0.60699561 0.05638996 0.23691240 0.41126200
-0.87777623 -0.29299290 -0.27333096 0.41374354
-0.52777083 0.31123684 -0.10783486 0.37399599
-1.22542496 -0.42599822 -0.20825918 0.34090210
-0.73943222 -0.10209716 0.00964528 0.34645554
-0.67793658 0.26233490 -0.16900433 0.45410823
-0.81557949 0.11971888 -0.38391052 0.45867847
-0.50257707 0.02563830 -0.03686062 0.38615466
-0.20293097 -0.15555186 0.51507454 0.37652309
-0.65635786 -0.31925411 0.01747990 0.42214455
-0.86906130 -0.18793896 0.09925833 0.26486140
-0.46110448 -0.15554193 0.24685129 0.27449972
-0.31062306 0.35907544 0.13235335 0.31442690
-0.25914282 -0.47019961 -0.07947664 0.26922851
-0.81675131 0.02980647 -0.14286230 0.36510602
-0.64153946 0.47054372 -0.04242995 0.42801816
-0.49655192 -0.05806733 0.01892832 0.45777701
-0.59849583 0.11208102 0.29132688 0.41220668
-0.18815150 0.07740502 0.14738672 0.46710084
-0.88771613 -0.02196919 0.23507237 0.36968485
-0.38350784 0.05290243 0.22159849 0.28856118
-0.47730832 0.30007656 0.07233979 0.24087688
-0.68892458 0.08396031 -0.73264859 0.24639314
-0.50427857 -0.91210321 -0.43086585 0.21168486
-0.48705785 0.11938233 -0.29060720 0.14593252
-0.77802551 0.34263525 -0.12100753 0.16779119
-0.03926992 -0.00047996 0.10200904 0.24613070
-0.19578140 0.03275678 -0.25058600 0.26575051
-0.62743186 -0.00890268 -0.34118541 0.40000822
-0.66395802 -0.18554802 0.23108944 0.47401855
-0.59134703 -0.07069894 -0.02654548 0.50270368
-0.54421950 0.15420355 -0.24992806 0.48715261
-0.86039691 0.27616980 -0.10308422 0.42991783
-0.95421052 0.11095318 0.11584245 0.30320911
-0.98267881 0.05737043 0.18389577 0.37694740
-0.50640339 0.15799537 -0.35106727 0.32703549
-0.51723996 -0.07565494 -0.12069754 0.33999987
-0.38236110 0.36981863 0.44859251 0.44926011
-0.27129803 -0.02743355 0.08818004 0.50615071
-0.40829428 0.03029449 0.03269105 0.48612512
-0.39406172 -0.01482066 -0.18232173 0.61693631
-0.70361827 0.15847759 0.00074832 0.61167438
-0.51494751 0.16751981 -0.09371037 0.47812932
-0.41093796 0.09471065 -0.30870327 0.42364243
-0.23942380 -0.12518619 -0.41377384 0.42905031
-0.86126093 -0.25526129 0.01304333 0.45026178
-0.66846263 -0.08420799 0.15492549 0.39367028
-0.51503116 0.07901197 0.10245711 0.38876334
-0.44596633 -0.52698834 -0.09110956 0.38799684
-1.14505252 0.00901498 -0.00115824 0.36876156
-0.33861693 0.29690860 0.05069376 0.31269843
-0.72509027 0.12129028 -0.13197941 0.37483176
-0.60034816 0.24653408 -0.13944284 0.45976996
-0.39858034 0.16935034 -0.23869795 0.48954948
-0.35652647 0.17464159 0.02548147 0.45661601
-0.79058086 -0.21480150 -0.13441564 0.44046024
-0.46435138 -0.23890629 0.10937806 0.36724012
-0.91043888 -0.05101715 0.02741194 0.44870524
0.01128254 -0.34432891 0.36800364 0.41981715
-0.56253940 0.10279298 0.02958698 0.39540443
-0.48881830 -0.03842128 0.36351255 0.40795574
-0.71411779 0.28305864 -0.16109178 0.47962849
-0.61506296 -0.26799064 0.11375593 0.33188323
-0.23871851 -0.01933904 -0.04922142 0.32077952
-0.87865424 -0.05732316 -0.39819856 0.24444481
-0.82821950 0.05669651 0.32975330 0.31496457
0.10230272 -0.14664627 0.35882504 0.42078736
-0.53906188 -0.03781191 0.10814861 0.40603515
-0.58452088 0.02759893 -0.10208329 0.51897892
-0.94952741 -0.38590630 0.16331122 0.63512742
-0.66917502 -0.14902222 0.00212641 0.49381358
-0.40126694 0.04509099 -0.16401373 0.34740479
-0.29342676 0.39479638 0.12363916 0.45973283
-0.35658412 0.31049000 0.28252483 0.33367096
-0.44647521 0.14958676 0.12991514 0.26570199
-0.87433442 0.17518079 -0.33895349 0.26551182
-0.79864986 0.32589127 0.21005504 0.42355118
-0.22815043 -0.06791860 -0.28806221 0.38542858
-0.66010930 0.02550782 0.01974718 0.45893006
-0.31657988 -0.09031761 0.08800862 0.55337623
-0.84715679 0.11257932 0.00077714 0.55751159
-0.78745333 -0.05895734 -0.04604394 0.38401476
-0.66753878 0.44283531 -0.02461150 0.34784878
-0.66097403 -0.52436274 -0.22355184 0.31649106
-0.66576836 -0.17146317 0.34542690 0.37112003
-0.64123444 0.32211106 0.01542616 0.33714056
-0.59069304 -0.02219911 0.00094906 0.45239984
-0.17030125 -0.57990268 -0.50038644 0.49561381
-0.73579271 0.00363197 0.17252611 0.49108261
-0.48172820 -0.09606148 0.25476092 0.42552968
-0.34245115 0.04601446 0.24066439 0.48768996
-0.53183868 -0.14037076 0.17445421 0.35409290
-0.57234672 0.00033496 0.36823839 0.31201630
-1.21271803 -0.35442104 -0.29676761 0.24594314
-0.69081516 -0.06365204 -0.37683141 0.15312585
-0.84628951 -0.21521042 0.61435602 0.10796832
-0.14956451 -0.10293735 -0.09089582 0.14777276
-0.88730100 -0.47703260 -0.02922005 0.23796844
-0.84946300 -0.02121263 -0.40005146 0.28022922
-0.79049361 0.03715677 0.09155240 0.36629522
-0.49563201 -0.33012225 0.21367143 0.41488161
-0.80005292 0.15821448 -0.00265967 0.43085397
-0.94409687 -0.07904943 0.09134094 0.37553439
-0.44675865 -0.03524697 0.38294472 0.32108793
-0.34812231 -0.06416353 0.18753045 0.21761358
-0.11655163 0.49012115 -0.30699997 0.21260578
-0.83163328 0.37122970 -0.26457026 0.27936434
-0.93063528 -0.12154853 0.10505668 0.20184373
-0.62559918 -0.16264091 -0.16855312 0.32810639
-0.77808427 -0.21987741 0.57040822 0.31217489
-0.52562223 0.22168976 -0.12226937 0.25658303
-0.64648917 -0.17838850 -0.66292708 0.18177065
-0.94450232 -0.45265467 -0.56244594 0.22833932
-0.89883974 0.33123892 -0.01110904 0.19415355
-0.27735906 0.10274564 0.19563971 0.31124962
-0.82522425 0.13098774 0.18217856 0.35171549
-0.74416182 0.13988509 0.14154694 0.44708764
-0.73738816 -0.28069211 -0.29603208 0.53032257
-0.57837361 0.08175247 -0.19813146 0.46060943
-0.59335366 0.14263426 0.15454768 0.36325013
-0.21202997 0.31924521 -0.25032286 0.34532707
-0.17910345 -0.13274413 0.26121820 0.24365840
-0.58300334 -0.10303734 -0.45192421 0.14006800
-0.64289113 -0.38984581 0.24182481 0.21678319
-0.22080184 -0.19922775 0.07549269 0.23383685
-0.78134788 -0.15712118 0.19362368 0.28746798
-0.60963457 0.43491201 -0.12055812 0.42609366
-0.35016592 0.02435335 0.19894450 0.48677144
-0.71178941 -0.01238971 -0.02887472 0.40969581
-0.80901428 0.16552038 0.16256225 0.50637212
-0.45161133 0.38424141 0.36233620 0.47127295
-0.69373617 0.09326308 -0.15590017 0.37858699
-0.59416117 -0.14993736 0.40501758 0.27517159
-0.50907546 -0.05450728 0.29840464 0.33855938
-1.14265385 -0.50352565 0.19895966 0.21593828
-0.58488289 0.06261158 -0.33159903 0.33608937
-0.60580843 0.50087735 0.20604990 0.26176913
-0.55757336 -0.10976348 -0.09864321 0.29253727
-1.13229947 0.06441011 0.21137078 0.22670117
-0.99390483 -0.16535422 -0.28936616 0.32094122
-0.84133780 0.01337041 -0.52110054 0.15905156
-0.44643239 0.18846377 -0.06277565 0.15022048
-1.22017713 -0.24910466 0.30822548 0.23475103
-1.29449857 -0.08688085 -0.29500019 0.25143444
-0.39885742 -0.16877849 0.10098851 0.17469809
-0.45863490 0.45905646 -0.05073549 0.29373031
-0.50598891 -0.37126387 0.29760339 0.32358954
-0.79012721 -0.14018854 -0.00556195 0.26532199
-0.99072109 0.05719251 0.24186657 0.24678084
-0.52676654 -0.39722439 -0.03095232 0.33911277
-0.41449277 -0.46949719 -0.26869150 0.24036700
-0.38086410 0.06752386 0.10299290 0.21828874
-0.13512630 0.11713819 0.16447200 0.30646819
0.07768638 -0.05345114 -0.19947069 0.30540758
-0.49305090 0.10974776 -0.13167885 0.27833285
-0.85809925 0.57746111 0.08171087 0.32223739
-0.78307135 0.22898258 -0.02728629 0.34311219
-0.66322036 0.14056822 -0.32297057 0.34928474
-0.51184320 0.47823870 0.11654442 0.44568009
-0.69405303 -0.12677632 -0.10258499 0.37217888
-0.66349067 -0.09445163 0.22907786 0.34345966
-1.03330228 0.21550001 -0.09492163 0.33007000
-0.50576305 -0.28174698 0.33215777 0.21218315
-0.28859126 0.23989763 -0.37868869 0.26806415
-0.39271973 0.10121377 -0.40131781 0.30652598
-0.60607435 0.09113362 0.13901882 0.27009285
-0.55568466 0.07280785 0.36840285 0.29570461
-0.29349152 -0.71676374 -0.07935964 0.30855568
-0.64116276 -0.43802464 0.02354576 0.17965650
-0.28781056 -0.27164196 0.08410023 0.14666183
-0.82895587 -0.16797801 0.36934841 0.17645787
-0.73563946 0.11555312 -0.46780453 0.16684698
-0.13442061 0.15066311 -0.04562496 0.29211682
-0.45611337 -0.35245486 0.29563269 0.37730994
-0.68099619 -0.05101738 -0.12291390 0.48860709
-0.74516285 0.17366765 0.06397671 0.45603507
-0.43706296 -0.00219867 0.12829995 0.45206341
-0.70471219 0.55743296 -0.39198260 0.29827975
-0.28476567 0.34197686 -0.21303970 0.36596379
-0.04268160 0.24887257 0.24278475 0.29138782
-0.59299445 -0.05430654 -0.05235221 0.35094011
-0.50236735 0.35029657 0.04532855 0.44207119
-0.82786091 0.20610677 0.23028769 0.44511777
-0.43633512 0.18637473 -0.06773203 0.42439393
-0.83224729 -0.21704836 -0.40886581 0.35990373
-0.54076285 -0.02086220 -0.10999693 0.34447410
-1.33890471 -0.31182937 0.28021016 0.29100997
-0.76615650 0.09014792 -0.34767136 0.28378215
-0.24032363 -0.03600692 0.07251010 0.26020073
-0.01855505 0.37911003 -0.07664141 0.31681109
-0.74830505 -0.08138625 0.12747456 0.28594288
-0.62630603 -0.09881104 0.36679531 0.24577283
-0.62855247 0.57489727 0.02268564 0.32684221
-0.15367040 0.08932986 0.24074014 0.23871557
-0.78115276 -0.21343981 0.11492649 0.18775008
-0.35286169 0.01006413 -0.32159833 0.27488923
-0.94006459 -0.35678410 -0.44190553 0.26371060
-0.57262866 0.28126098 -0.00335395 0.18177056
-1.16510369 -0.04769012 -0.04069975 0.16470847
-0.07600031 -0.36428448 -0.09766940 0.29396281
-0.17353683 0.11249459 0.14082827 0.23014180
-0.57135389 0.08248588 0.19440238 0.36615438
-0.80237158 0.21951464 -0.34325075 0.44564649
-0.51790801 0.04468524 -0.15407327 0.50304669
-0.60567132 -0.15563504 -0.26792533 0.40119589
-0.68840369 -0.27599716 0.08069937 0.42318466
-0.88752137 0.17799426 -0.29536977 0.43762017
-0.74157373 -0.15615085 0.33128668 0.35094949
-0.51742751 -0.05293345 0.12467986 0.42611059
-1.12679809 -0.01078340 0.49937854 0.39311863
-0.56691337 0.01697829 0.13703209 0.38926119
-0.37609869 -0.49936667 -0.42058162 0.23404051
-0.54742718 -0.17871914 0.32800632 0.23814276
-0.67879360 -0.48363268 -0.31700348 0.11729947
-1.28741900 -0.05853138 -0.04709603 0.13224923
-0.70611568 0.26971976 0.29962996 0.17931252
-0.64259711 -0.53367342 0.15432040 0.17353991
-0.46115994 0.07734789 0.24536994 0.19011193
-0.89120702 0.50218885 -0.23985694 0.18830723
-0.41269427 -0.42183692 -0.23256617 0.23823500
-0.22090784 -0.06522496 0.20998065 0.16129483
-0.54076115 -0.02623954 0.34096258 0.19726782
-0.65916471 -0.44518453 -0.20081002 0.29540982
-0.46220207 0.09887728 -0.39176456 0.29246375
-0.78108563 -0.14543034 -0.09136740 0.33247320
-0.94397840 -0.15709278 -0.18215262 0.43781173
-0.40711669 0.20228033 -0.03645261 0.44464576
-0.69800995 0.03498108 -0.20414378 0.39792848
-0.88670802 -0.23505530 -0.15870329 0.40609927
-0.89086845 0.04051489 0.18242892 0.36608773
-0.99677458 0.00628218 -0.05498395 0.29590208
-0.51462283 -0.00323469 -0.36339982 0.25936047
-0.91559732 0.00735589 0.25719523 0.31424797
-1.15354684 0.08643164 0.29740550 0.26425607
-0.63825647 0.13755062 -0.17576727 0.26760925
-0.62984155 -0.40522838 -0.58608583 0.23125739
-0.36430855 -0.24624873 -0.11388196 0.34980147
-0.94661056 -0.35249243 -0.04345943 0.26464071
-0.78239430 0.09449275 0.11313460 0.32087959
-0.51978759 0.05965020 0.39444205 0.27895899
-0.86689844 -0.01373372 0.28317246 0.32074559
-0.28386505 -0.35544091 -0.07808886 0.37131827
-0.26046973 0.12701978 0.04881576 0.51770204
-0.65442117 -0.09595023 0.07205477 0.46167212
